term,link
carbon,n/a
c02,https://en.wikipedia.org/wiki/Carbon_dioxide
"100,000-year problem","https://en.wikipedia.org/wiki/100,000-year_problem"
adaptation,https://en.wikipedia.org/wiki/Adaptation
additionality,https://en.wikipedia.org/wiki/Carbon_credit#Additionality_and_its_importance
albedo,https://en.wikipedia.org/wiki/Albedo
anoxic event,https://en.wikipedia.org/wiki/Anoxic_event
Antarctic bottom water,https://en.wikipedia.org/wiki/Antarctic_bottom_water
Antarctic oscillation,https://en.wikipedia.org/wiki/Antarctic_oscillation
Antarctica cooling controversy,https://en.wikipedia.org/wiki/Antarctica_cooling_controversy
anthropogenic,https://en.wikipedia.org/wiki/Human_impact_on_the_environment
anthropogenic climate change,https://en.wikipedia.org/wiki/Anthropogenic_climate_change
anthropogenic global warming,https://en.wikipedia.org/wiki/Anthropogenic_global_warming
anti-greenhouse effect,https://en.wikipedia.org/wiki/Anti-greenhouse_effect
Arctic amplification,n/a
Arctic dipole anomaly,https://en.wikipedia.org/wiki/Arctic_dipole_anomaly
Arctic oscillation,https://en.wikipedia.org/wiki/Arctic_oscillation
Arctic shrinkage,https://en.wikipedia.org/wiki/Arctic_shrinkage
Argo,https://en.wikipedia.org/wiki/Argo_(oceanography)
Atlantic Multidecadal Oscillation,https://en.wikipedia.org/wiki/Atlantic_Multidecadal_Oscillation
atmospheric sciences,https://en.wikipedia.org/wiki/Atmospheric_sciences
atmospheric window,https://en.wikipedia.org/wiki/Radio_window
attribution of recent climate change,https://en.wikipedia.org/wiki/Attribution_of_recent_climate_change
Blytt–Sernander system,https://en.wikipedia.org/wiki/Blytt%E2%80%93Sernander_system
Bond event,https://en.wikipedia.org/wiki/Bond_event
Callendar effect,https://en.wikipedia.org/wiki/Callendar_effect
cap and trade,https://en.wikipedia.org/wiki/Cap_and_trade
carbon cycle,https://en.wikipedia.org/wiki/Carbon_cycle
carbon diet,https://en.wikipedia.org/wiki/Carbon_diet
carbon dioxide,https://en.wikipedia.org/wiki/Carbon_dioxide
carbon footprint,https://en.wikipedia.org/wiki/Carbon_footprint
carbon offset,https://en.wikipedia.org/wiki/Carbon_offset
carbon sequestration,https://en.wikipedia.org/wiki/Carbon_sequestration
carbon sink,https://en.wikipedia.org/wiki/Carbon_sink
carbon tax,https://en.wikipedia.org/wiki/Carbon_tax
clathrate gun hypothesis,https://en.wikipedia.org/wiki/Clathrate_gun_hypothesis
climate,https://en.wikipedia.org/wiki/Climate
climate change,https://en.wikipedia.org/wiki/Climate_change
climate change denial,https://en.wikipedia.org/wiki/Climate_change_denial
climate change feedback,https://en.wikipedia.org/wiki/Climate_change_feedback
climate change mitigation,https://en.wikipedia.org/wiki/Climate_change_mitigation
climate commitment,https://en.wikipedia.org/wiki/Climate_commitment
Climate crisis,https://en.wikipedia.org/wiki/Climate_crisis
climate cycle,https://en.wikipedia.org/wiki/Climate_cycle
climate ethics,https://en.wikipedia.org/wiki/Climate_ethics
climate forcing,n/a
climate justice,https://en.wikipedia.org/wiki/Climate_justice
climate legislation,https://en.wikipedia.org/wiki/Climate_legislation
climate model,https://en.wikipedia.org/wiki/Climate_model
climate movement,https://en.wikipedia.org/wiki/Climate_movement
climate oscillation,https://en.wikipedia.org/wiki/Climate_oscillation
climate resilience,https://en.wikipedia.org/wiki/Climate_resilience
climate sensitivity,https://en.wikipedia.org/wiki/Climate_sensitivity
climate stabilization wedge,https://en.wikipedia.org/wiki/Climate_stabilization_wedge
climate system,https://en.wikipedia.org/wiki/Climate_system
climate variability,n/a
climatology,https://en.wikipedia.org/wiki/Climatology
cool tropics paradox,https://en.wikipedia.org/wiki/Cool_tropics_paradox
cosmic rays,https://en.wikipedia.org/wiki/Cosmic_rays
dendroclimatology,https://en.wikipedia.org/wiki/Dendroclimatology
desertification,https://en.wikipedia.org/wiki/Desertification
detection and attribution,n/a
eco-efficiency,https://en.wikipedia.org/wiki/Eco-efficiency
Earth's atmosphere,https://en.wikipedia.org/wiki/Earth%27s_atmosphere
Earthshine,https://en.wikipedia.org/wiki/Earthshine
ecotax,https://en.wikipedia.org/wiki/Ecotax
ecosystem services,https://en.wikipedia.org/wiki/Ecosystem_services
El Niño-Southern Oscillation,https://en.wikipedia.org/wiki/El_Ni%C3%B1o
emission intensity,https://en.wikipedia.org/wiki/Emission_intensity
emission inventory,https://en.wikipedia.org/wiki/Emission_inventory
emission standards,https://en.wikipedia.org/wiki/Emission_standards
emissions trading,https://en.wikipedia.org/wiki/Emissions_trading
enteric fermentation,https://en.wikipedia.org/wiki/Enteric_fermentation
environmental crime,https://en.wikipedia.org/wiki/Environmental_crime
environmental migrant,https://en.wikipedia.org/wiki/Environmental_migrant
feedback,n/a
forest dieback,https://en.wikipedia.org/wiki/Forest_dieback
fossil fuel,https://en.wikipedia.org/wiki/Fossil_fuel
Freon,https://en.wikipedia.org/wiki/Freon
glacial earthquake,https://en.wikipedia.org/wiki/Glacial_earthquake
glacial motion,https://en.wikipedia.org/wiki/Glacial_motion
global cooling,https://en.wikipedia.org/wiki/Global_cooling
global climate model,https://en.wikipedia.org/wiki/Global_climate_model
global climate regime,https://en.wikipedia.org/wiki/Global_climate_regime
global dimming,https://en.wikipedia.org/wiki/Global_dimming
global warming,https://en.wikipedia.org/wiki/Global_warming
global warming controversy,https://en.wikipedia.org/wiki/Global_warming_controversy
global warming denial,https://en.wikipedia.org/wiki/Global_warming_denial
global warming period,https://en.wikipedia.org/wiki/Global_warming_period
global warming potential,https://en.wikipedia.org/wiki/Global_warming_potential
greenhouse debt,https://en.wikipedia.org/wiki/Greenhouse_debt
greenhouse effect,https://en.wikipedia.org/wiki/Greenhouse_effect
greenhouse gas,https://en.wikipedia.org/wiki/Greenhouse_gas
greenhouse gas inventory,https://en.wikipedia.org/wiki/Greenhouse_gas_inventory
Gulf Stream,https://en.wikipedia.org/wiki/Gulf_Stream
historical temperature record,n/a
hockey stick graph,https://en.wikipedia.org/wiki/Hockey_stick_graph
Holocene,https://en.wikipedia.org/wiki/Holocene
Holocene Climatic Optimum,https://en.wikipedia.org/wiki/Holocene_Climatic_Optimum
homogenization,https://en.wikipedia.org/wiki/Homogenization_(climate)
ice age,https://en.wikipedia.org/wiki/Ice_age
ice core,https://en.wikipedia.org/wiki/Ice_core
insolation,https://en.wikipedia.org/wiki/Insolation
invasive species,https://en.wikipedia.org/wiki/Invasive_species
iris hypothesis,https://en.wikipedia.org/wiki/Iris_hypothesis
irradiance,https://en.wikipedia.org/wiki/Irradiance
instrumental temperature record,https://en.wikipedia.org/wiki/Instrumental_temperature_record
Interdecadal Pacific Oscillation,https://en.wikipedia.org/wiki/Interdecadal_Pacific_Oscillation
Intergovernmental Panel on Climate Change,https://en.wikipedia.org/wiki/Intergovernmental_Panel_on_Climate_Change
Keeling Curve,https://en.wikipedia.org/wiki/Keeling_Curve
Kyoto Protocol,https://en.wikipedia.org/wiki/Kyoto_Protocol
Little Ice Age,https://en.wikipedia.org/wiki/Little_Ice_Age
magnetosphere,https://en.wikipedia.org/wiki/Magnetosphere
Maunder Minimum,https://en.wikipedia.org/wiki/Maunder_Minimum
Mauna Loa,https://en.wikipedia.org/wiki/Mauna_Loa
Medieval Warm Period,https://en.wikipedia.org/wiki/Medieval_Warm_Period
meteorology,https://en.wikipedia.org/wiki/Meteorology
methane,https://en.wikipedia.org/wiki/Methane
Milankovitch cycles,https://en.wikipedia.org/wiki/Milankovitch_cycles
mitigation of global warming,https://en.wikipedia.org/wiki/Mitigation_of_global_warming
mode of variability,https://en.wikipedia.org/wiki/Mode_of_variability
nitrous oxide,https://en.wikipedia.org/wiki/Nitrous_oxide
nonradiative forcing,n/a
North Atlantic Deep Water,https://en.wikipedia.org/wiki/North_Atlantic_Deep_Water
North Atlantic oscillation,https://en.wikipedia.org/wiki/North_Atlantic_oscillation
ocean planet,https://en.wikipedia.org/wiki/Ocean_planet
orbital forcing,https://en.wikipedia.org/wiki/Orbital_forcing
ozone,https://en.wikipedia.org/wiki/Ozone
ozone depletion,https://en.wikipedia.org/wiki/Ozone_depletion
ozone layer,https://en.wikipedia.org/wiki/Ozone_layer
Pacific decadal oscillation,https://en.wikipedia.org/wiki/Pacific_decadal_oscillation
Paleocene–Eocene Thermal Maximum,https://en.wikipedia.org/wiki/Paleocene%E2%80%93Eocene_Thermal_Maximum
paleoclimatology,https://en.wikipedia.org/wiki/Paleoclimatology
policies and measures (PaMs),n/a
phenology,https://en.wikipedia.org/wiki/Phenology
polar amplification,https://en.wikipedia.org/wiki/Polar_amplification
polar city,https://en.wikipedia.org/wiki/Polar_city
proxy,https://en.wikipedia.org/wiki/Proxy_(climate)
radiative forcing,https://en.wikipedia.org/wiki/Radiative_forcing
regime shift,https://en.wikipedia.org/wiki/Regime_shift
removal unit,https://en.wikipedia.org/wiki/Removal_unit
runaway greenhouse effect,https://en.wikipedia.org/wiki/Runaway_greenhouse_effect
sea level rise,https://en.wikipedia.org/wiki/Sea_level_rise
season creep,https://en.wikipedia.org/wiki/Season_creep
slash and burn,https://en.wikipedia.org/wiki/Slash_and_burn
Snowball Earth,https://en.wikipedia.org/wiki/Snowball_Earth
solar variation,https://en.wikipedia.org/wiki/Solar_variation
solar wind,https://en.wikipedia.org/wiki/Solar_wind
stranded asset,https://en.wikipedia.org/wiki/Stranded_asset
Stratospheric aerosol injection,https://en.wikipedia.org/wiki/Stratospheric_aerosol_injection
sunspot,https://en.wikipedia.org/wiki/Sunspot
thermohaline circulation,https://en.wikipedia.org/wiki/Thermohaline_circulation
TEX-86,https://en.wikipedia.org/wiki/TEX-86
thermocline,https://en.wikipedia.org/wiki/Thermocline
tipping points in the climate system,https://en.wikipedia.org/wiki/Tipping_points_in_the_climate_system
urban heat island,https://en.wikipedia.org/wiki/Urban_heat_island
volcanism,https://en.wikipedia.org/wiki/Volcanism
water vapor,https://en.wikipedia.org/wiki/Water_vapor
with additional measures (WAM),n/a
with measures (WEM),n/a
without measures (WOM),n/a
weather,https://en.wikipedia.org/wiki/Weather
World Climate Report,https://en.wikipedia.org/wiki/World_Climate_Report
